,AGS,Name,Bundesland,mobility_car_density,mobility_ev_hybrid,mobility_rank,mobility_third,mobility_pc_km_umweltfreundlich_2002,mobility_pc_km_umweltfreundlich_2017
164,7137,Mayen-Koblenz,Rheinland-Pfalz,65.3806522284006,1.6198954726474386,283,schlechtesten Drittel,14.824903843387014,18.740222930100728
165,7138,Neuwied,Rheinland-Pfalz,66.19176744942784,1.7251477845870167,310,schlechtesten Drittel,14.824903843387014,18.740222930100728
166,7140,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,68.81185733421994,1.638285774860987,369,schlechtesten Drittel,14.824903843387014,18.740222930100728
167,7141,Rhein-Lahn-Kreis,Rheinland-Pfalz,66.15250480753562,1.4658909422769792,306,schlechtesten Drittel,14.824903843387014,18.740222930100728
168,7143,Westerwaldkreis,Rheinland-Pfalz,68.31002153745015,1.7735280698225495,355,schlechtesten Drittel,14.824903843387014,18.740222930100728
169,7211,Trier,Rheinland-Pfalz,48.91019263814778,1.8024780681920956,30,besten Drittel,14.824903843387014,18.740222930100728
170,7231,Bernkastel-Wittlich,Rheinland-Pfalz,67.15903669805822,1.5848896584624628,331,schlechtesten Drittel,14.824903843387014,18.740222930100728
171,7232,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,66.95292148297823,1.6709753464277575,325,schlechtesten Drittel,14.824903843387014,18.740222930100728
172,7233,Vulkaneifel,Rheinland-Pfalz,68.96126934069184,1.478269439243126,372,schlechtesten Drittel,14.824903843387014,18.740222930100728
173,7235,Trier-Saarburg,Rheinland-Pfalz,67.06093261095346,1.6683535427705785,328,schlechtesten Drittel,14.824903843387014,18.740222930100728
174,7311,Frankenthal (Pfalz),Rheinland-Pfalz,55.97359194636376,1.748918458983454,79,besten Drittel,14.824903843387014,18.740222930100728
175,7312,Kaiserslautern,Rheinland-Pfalz,50.290053579341745,1.9004552229786889,40,besten Drittel,14.824903843387014,18.740222930100728
176,7313,Landau in der Pfalz,Rheinland-Pfalz,59.5600929261067,2.240030691191202,132,besten Drittel,14.824903843387014,18.740222930100728
177,7314,Ludwigshafen am Rhein,Rheinland-Pfalz,49.60004647245055,1.811263760202155,32,besten Drittel,14.824903843387014,18.740222930100728
178,7315,Mainz,Rheinland-Pfalz,46.63167184540992,1.791262939197264,18,besten Drittel,14.824903843387014,18.740222930100728
179,7316,Neustadt an der Weinstraße,Rheinland-Pfalz,62.33385055429885,1.6750481389392609,195,mittleren Drittel,14.824903843387014,18.740222930100728
180,7317,Pirmasens,Rheinland-Pfalz,58.29629999500675,1.827532830678584,111,besten Drittel,14.824903843387014,18.740222930100728
181,7318,Speyer,Rheinland-Pfalz,58.997330169089295,1.8194403243350141,121,besten Drittel,14.824903843387014,18.740222930100728
182,7319,Worms,Rheinland-Pfalz,55.666070363744765,1.7352415026833632,78,besten Drittel,14.824903843387014,18.740222930100728
183,7320,Zweibrücken,Rheinland-Pfalz,63.21316476489395,2.2381273649936935,216,mittleren Drittel,14.824903843387014,18.740222930100728
184,7331,Alzey-Worms,Rheinland-Pfalz,66.3953399832483,1.6325287443843748,313,schlechtesten Drittel,14.824903843387014,18.740222930100728
185,7332,Bad Dürkheim,Rheinland-Pfalz,69.21309850907616,1.764935513415312,375,schlechtesten Drittel,14.824903843387014,18.740222930100728
186,7333,Donnersbergkreis,Rheinland-Pfalz,67.293466897802,1.3854887586179516,333,schlechtesten Drittel,14.824903843387014,18.740222930100728
187,7334,Germersheim,Rheinland-Pfalz,65.23164724350995,2.0632109687347753,276,schlechtesten Drittel,14.824903843387014,18.740222930100728
188,7335,Kaiserslautern,Rheinland-Pfalz,65.02765481549419,1.6723910418986834,268,schlechtesten Drittel,14.824903843387014,18.740222930100728
189,7336,Kusel,Rheinland-Pfalz,68.47274442808333,1.3166735764628517,361,schlechtesten Drittel,14.824903843387014,18.740222930100728
190,7337,Südliche Weinstraße,Rheinland-Pfalz,70.00332497596135,1.7451630586184277,387,schlechtesten Drittel,14.824903843387014,18.740222930100728
191,7338,Rhein-Pfalz-Kreis,Rheinland-Pfalz,66.51596259271201,1.580135440180587,317,schlechtesten Drittel,14.824903843387014,18.740222930100728
192,7339,Mainz-Bingen,Rheinland-Pfalz,67.5722624988231,1.880708031258827,338,schlechtesten Drittel,14.824903843387014,18.740222930100728
193,7340,Südwestpfalz,Rheinland-Pfalz,71.6301585125344,1.651567723768443,392,schlechtesten Drittel,14.824903843387014,18.740222930100728
194,8111,Stuttgart,Baden-Württemberg,50.48964113209054,4.532673346373398,43,besten Drittel,20.48288103333975,24.08454341300107
195,8115,Böblingen,Baden-Württemberg,67.02094380650821,5.166901918895205,326,schlechtesten Drittel,20.48288103333975,24.08454341300107
196,8116,Esslingen,Baden-Württemberg,63.49711654555407,2.5904219817468706,224,mittleren Drittel,20.48288103333975,24.08454341300107
197,8117,Göppingen,Baden-Württemberg,65.18880816534515,2.030913428503046,275,schlechtesten Drittel,20.48288103333975,24.08454341300107
198,8118,Ludwigsburg,Baden-Württemberg,62.09528915195924,2.4788912368569376,188,mittleren Drittel,20.48288103333975,24.08454341300107
199,8119,Rems-Murr-Kreis,Baden-Württemberg,63.21410852858306,2.2042235722509806,217,mittleren Drittel,20.48288103333975,24.08454341300107
